2019-01-26 17:41:35.301002--['archive-190126.zip', 'network_status_app.zip']: files found in the archived_files folder. 
2019-01-26 17:41:48.907761--Found files in the archive-directory. Preparing to email them. 
2019-01-26 17:51:32.016480--Found files in the archive-directory. Preparing to email them. 
2019-01-26 17:52:25.765406--Found files in the archive-directory. Preparing to email them. 
2019-01-26 17:52:34.528211--Found files in the archive-directory. Preparing to email them. 
2019-01-26 17:54:15.933238--Found files in log_files\. Preparing to email them. 
2019-01-26 17:54:15.937227--The archived_files\ directory is empty. Skipping email.  
2019-01-26 17:56:25.670099--Found files in log_files\. Preparing to email them. 
2019-01-26 17:57:27.730193--Found files in log_files\. Preparing to email them. 
2019-01-26 17:57:44.923529--Found files in log_files\. Preparing to email them. 
2019-01-26 17:58:07.557822--Found files in log_files\. Preparing to email them. 
2019-01-26 17:58:45.462486--Found files in log_files\. Preparing to email them. 
2019-01-26 17:58:45.466475--The archived_files\ directory is empty. Skipping email.  
