2019-01-26 19:00:12.881576--['archive-190126.zip']: files found in the archived_files folder. 
2019-01-26 19:00:12.884568--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:00:21.842479--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:00:37.479487--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:05:50.678493--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:06:11.502672--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:07:39.547873--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:09:48.573997--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:14:06.322782--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:14:28.596860--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:16:51.128136--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:17:18.729349--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:19:27.050855--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:20:45.571884--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:21:02.570361--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:21:43.555566--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:25:38.903143--Found files in archived_files\. Preparing to email them. 
2019-01-26 19:26:13.714904--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:27:07.853677--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:29:47.545754--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:31:51.172813--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:32:13.758908--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:32:30.992786--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:32:52.388854--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:33:49.965879--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:40:41.150488--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:42:02.180656--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:44:13.255780--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:45:08.627644--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:46:20.661326--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:48:09.782242--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:48:17.499441--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:48:26.200704--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:49:59.845142--The archived_files\ directory is empty. Skipping email.  
2019-01-26 19:52:04.314164--Found files in archived_files\. Preparing to email them. 
